GROUP,PACKAGE,CLASS,Mutation Coverage,M_P,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,B_Coverage,B_P,LINE_MISSED,LINE_COVERED,Statement_Coverage,S_P,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Complexity,METHOD_MISSED,METHOD_COVERED
Apache Commons Collections,org.apache.commons.collections4.set,PredicatedSet,1,100,0,31,0,4,1,100,1,26,0.962962963,96.2962963,1,10,11,0,4
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableOrderedMapIterator,1,100,0,59,0,4,1,100,1,26,0.962962963,96.2962963,1,10,11,0,4
Apache Commons Collections,org.apache.commons.collections4.list,AbstractListDecorator,1,100,3,77,0,4,1,100,2,5,0.714285714,71.4285714,1,6,7,1,4
Apache Commons Collections,org.apache.commons.collections4.iterators,LoopingIterator,1,100,0,56,0,8,1,100,3,10,0.769230769,76.9230769,3,4,7,2,3
Apache Commons Collections,org.apache.commons.collections4.iterators,SkippingIterator,1,100,0,60,0,8,1,100,3,11,0.785714286,78.5714286,3,3,6,1,3
Apache Commons Collections,org.apache.commons.collections4,FluentIterable,1,100,0,190,0,4,1,100,3,21,0.875,87.5,1,12,13,1,9
Apache Commons Collections,org.apache.commons.collections4.functors,NonePredicate,1,100,0,55,0,8,1,100,4,51,0.927272727,92.7272727,2,18,20,2,12
Apache Commons Collections,org.apache.commons.collections4.iterators,ObjectGraphIterator,1,100,0,195,0,30,1,100,4,106,0.963636364,96.3636364,9,44,53,0,29
Apache Commons Collections,org.apache.commons.collections4.iterators,SingletonIterator,1,100,0,75,0,14,1,100,5,8,0.615384615,61.5384615,5,5,10,5,4
Apache Commons Collections,org.apache.commons.collections4.functors,AllPredicate,1,100,0,73,0,12,1,100,5,21,0.807692308,80.7692308,4,13,17,4,12
Apache Commons Collections,org.apache.commons.collections4.map,LazyMap,1,100,0,81,0,6,1,100,6,10,0.625,62.5,2,3,5,1,3
Apache Commons Collections,org.apache.commons.collections4.iterators,LazyIteratorChain,1,100,0,99,0,12,1,100,6,21,0.777777778,77.7777778,4,15,19,3,14
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableListIterator,1,100,0,64,0,4,1,100,7,22,0.75862069,75.862069,1,11,12,1,10
Apache Commons Collections,org.apache.commons.collections4.map,AbstractMapDecorator,1,100,0,92,0,4,1,100,8,19,0.703703704,70.3703704,1,10,11,1,9
